block,field,field_group,archived_schema_declaration,ordinal_battery,ordinal_complete_documents,paired_nominal_battery,paired_nominal_complete_documents
codes,dppra_alignment_score_code,DPPRA,"int 0-5|8|9 (0 none,1 symbolic,2 procedural,3 operational,4 material/substantive,5 verified substantive) [LEAVE-ALONE: reliable v2.7 field, keeps its own anchors]",yes,64,no,
codes,decoupling_signal_code,structural interpretation,"int [LOCK crosswalk] 0=none,1=low,2=low-moderate,3=moderate,4=high,8=unclear,9=N/A (now also carries org-level stated-values-vs-practice, the dropped int_institutional concept)",no,,no,
codes,market_capture_signal_code,structural interpretation,"int [LOCK crosswalk] 0=none,1=low,2=moderate,3=high,8=unclear,9=N/A",no,,no,
codes,dominant_value_type_code,structural interpretation,"int [LOCK crosswalk] 1=mechanical,2=institutional,3=market,4=pedagogical,5=redistributive,6=humanistic,8=unclear,9=N/A",no,,yes,65
codes,responsibility_concentration_code,structural interpretation,"int [LOCK crosswalk] 0=none,1=concentrated/non-delegable,2=distributed,3=diffuse/unclear,8=unclear,9=N/A",no,,yes,65
codes,int_academic_presence_code,integrity mechanisms,int 0|1|8|9 [scope: honesty OF THE LEARNER - student cheating/plagiarism/contract cheating],no,,no,
codes,int_academic_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,int_research_presence_code,integrity mechanisms,int 0|1|8|9 [scope: fabrication/falsification/misconduct/reproducibility/p-hacking],no,,no,
codes,int_research_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,int_assessment_presence_code,integrity mechanisms,"int 0|1|8|9 [scope: a FORM OF ASSESSMENT no longer productive/definitive - instrument validity, not learner honesty]",no,,no,
codes,int_assessment_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,int_system_tevv_presence_code,integrity mechanisms,int 0|1|8|9 [scope: AI tested/evaluated/validated/verified/audited/benchmarked],no,,no,
codes,int_system_tevv_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,int_data_prov_presence_code,integrity mechanisms,int 0|1|8|9 [scope: sourcing/consent/licensing/lineage of data used/trained on],no,,no,
codes,int_data_prov_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,int_epistemic_presence_code,integrity mechanisms,"int 0|1|8|9 [scope: truthfulness/reliability of knowledge, hallucination, misinformation, source verification]",no,,no,
codes,int_epistemic_intensity_code,integrity mechanisms,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,cb_cost_presence_strength_code,cost/benefit,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,cb_benefit_presence_strength_code,cost/benefit,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,cb_cost_intensity_code,cost/benefit,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,cb_benefit_intensity_code,cost/benefit,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,cb_cost_evidence_label_code,cost/benefit,"int [Part D tree] 0=absent,1=evidence-based,2=speculative/aspirational,3=rhetorical/symbolic,8=unclear,9=N/A",no,,yes,65
codes,cb_benefit_evidence_label_code,cost/benefit,int [Part D tree] same as cb_cost_evidence_label_code,no,,yes,65
codes,cb_primary_cost_bearer_code,cost/benefit,"int actor crosswalk 0-9 (0 none,1 student/learner/applicant,2 teacher/evaluator/worker,3 institution/school/employer,4 platform/vendor/company,5 government/policymaker,6 public/community/society,7 environment/infrastructure,8 unclear,9 N/A)",no,,yes,62
codes,cb_primary_material_beneficiary_code,cost/benefit,int actor crosswalk 0-9,no,,yes,65
codes,cb_primary_value_capturer_code,cost/benefit,int actor crosswalk 0-9 [LEAVE-ALONE: reliable v2.7 field],no,,yes,61
codes,cb_balance_code,cost/benefit,"int 0 none,1 benefits>costs,2 costs>benefits,3 mixed/balanced,4 asymmetric,8 unclear,9 N/A",no,,yes,65
codes,cb_distribution_direction_code,cost/benefit,"int 0 none,1 redistributive/public,2 institutional efficiency,3 market/platform capture,4 cost shift to learners/workers/public,5 mixed/contested,8 unclear,9 N/A",no,,yes,65
codes,cb_cost_financial_code,cost/benefit,int 0|1|8|9 (NOW ALSO covers labor/time cost - absorbed the cut cb_cost_labor_time),no,,no,
codes,cb_cost_cognitive_psychological_code,cost/benefit,int 0|1|8|9 (cognitive/learning/psychological harm to individuals - merged cb_cost_cognitive_pedagogical + renamed from cb_cost_psychological_social),no,,no,
codes,cb_cost_credential_opportunity_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_privacy_data_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_surveillance_control_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_access_inequality_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_environmental_infrastructure_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_compliance_burden_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_cost_rights_remedy_gap_code,cost/benefit,"int 0|1|8|9 [TIGHTENED: present ONLY when a SPECIFIC rights/remedy/due-process gap is named, NOT on generic fairness language]",no,,no,
codes,cb_benefit_learning_pedagogical_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_efficiency_labor_saving_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_financial_cost_saving_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_access_equity_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_quality_accuracy_code,cost/benefit,int 0|1|8|9 (NOW ALSO covers AI-assisted integrity/cheating detection - absorbed the cut cb_benefit_integrity_detection),no,,no,
codes,cb_benefit_consistency_standardization_code,cost/benefit,int 0|1|8|9 [LEAVE-ALONE: reliable v2.7 field],no,,no,
codes,cb_benefit_market_profit_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_public_good_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_accessibility_assistive_code,cost/benefit,int 0|1|8|9,no,,no,
codes,cb_benefit_rights_protection_code,cost/benefit,int 0|1|8|9,no,,no,
codes,gov_binding_status_code,government-specific,"int [LOCK] 0=nonbinding,1=binding,2=partial/mixed,8=unclear,9=N/A",no,,no,
codes,gov_enforcement_density_code,government-specific,"int 0 none,1 weak/indirect,2 single strong or multiple weak,3 multi-level architecture,8 unclear,9 N/A",no,,no,
codes,gov_fria_present_code,government-specific,"int [LOCK] 0=no,1=yes,2=partial,9=N/A",no,,no,
codes,gov_opensource_carveout_code,government-specific,"int [LOCK] 0=no,1=yes,2=partial,9=N/A",no,,no,
codes,gov_sector_carveout_code,government-specific,"int [LOCK] 0=no,1=yes,2=partial,9=N/A",no,,no,
codes,gov_standards_displacement_code,government-specific,"int [LOCK] 0=absent,1=present,8=unclear,9=N/A",no,,no,
codes,gov_remedy_present_code,government-specific,"int [LOCK] 0=no,1=yes (administrative),2=yes (justiciable/external),8=unclear,9=N/A",no,,no,
codes,gov_sanction_present_code,government-specific,"int [LOCK] 0=no external sanction,1=external sanction present,8=unclear,9=N/A",no,,no,
codes,gov_compliance_mechanism_code,government-specific,"int [LOCK] 0=absent,1=present,8=unclear,9=N/A",no,,no,
codes,journal_source_type_code,journal-specific,"int [JRN LOCK v2.7] 1=empirical,2=conceptual,3=review,4=theoretical,5=methodological,6=policy-oriented,7=mixed,8=unclear,9=N/A (non-journal layers code 9)",no,,yes,14
codes,journal_empirical_basis_binary_code,journal-specific,"int [JRN LOCK v2.7] 0=no empirical basis,1=has empirical basis,8=unclear,9=N/A (non-journal layers code 9)",no,,no,
codes,journal_method_type_code,journal-specific,"int [JRN LOCK v2.7] 0=none/non-empirical,1=quantitative,2=qualitative,3=mixed-methods,4=conceptual/theoretical,5=review/meta-analysis,6=computational/simulation,8=unclear,9=N/A (non-journal layers code 9) [LEAVE-ALONE: reliable v2.7 field]",no,,yes,14
codes,journal_method_evidence_label_code,journal-specific,"int [JRN LOCK v2.7] 0=absent,1=empirical,2=experiential/anecdotal,3=theoretical,4=speculative/prospective,5=rhetorical/promotional,6=mixed,8=unclear,9=N/A (non-journal layers code 9)",no,,yes,14
codes,journal_evidence_quality_strength_code,journal-specific,"int [JRN LOCK v2.7] 0=absent,2=weak,3=moderate,5=strong,8=unclear,9=N/A (non-journal layers code 9)",yes,14,no,
codes,journal_level_of_analysis_code,journal-specific,"int [JRN LOCK v2.7] 0=other/emergent,1=classroom,2=institution,3=platform,4=state,5=labor market,6=public sphere,7=social structure,8=unclear,9=N/A (non-journal layers code 9)",no,,yes,14
codes,learner_posture_code,forum-specific,"int [FRM LOCK v2.7] 1=AI-as-tutor,2=shortcut,3=collaborator,4=replacement-thinker,5=assistive-scaffold,6=cheating-mechanism,7=mixed,8=unclear,9=N/A (non-forum layers code 9)",no,,yes,3
codes,assessment_object_code,forum-specific,"int [FRM LOCK v2.7] 0=none,1=essay,2=exam,3=grade,4=degree,5=classroom-assignment,6=admission,7=scholarship,8=job-application,9=research-funding,10=professional-credential,11=legal-document,12=curriculum,13=public-infrastructure,14=labor-system,15=governance-process,16=other; 88=unclear,99=N/A (SPECIAL missing codes; non-forum layers code 99)",no,,yes,3
codes,external_link_boundary_code,forum-specific,"int [FRM LOCK v2.7] 0=no external object,1=referenced & included in coded text,2=referenced but NOT included,8=unclear,9=N/A (non-forum layers code 9)",no,,yes,12
codes,detection_verification_presence_binary_code,forum-specific,"int [FRM LOCK v2.7] 0=absent,1=present,8=unclear,9=N/A (non-forum layers code 9)",no,,no,
codes,detection_verification_presence_strength_code,forum-specific,"int [FRM LOCK v2.7] 0-5,8,9 (non-forum layers code 9) [Part A ladder]",yes,12,no,
codes,surveillance_monitoring_presence_binary_code,forum-specific,"int [FRM LOCK v2.7] 0=absent,1=present,8=unclear,9=N/A (non-forum layers code 9)",no,,no,
codes,surveillance_monitoring_presence_strength_code,forum-specific,"int [FRM LOCK v2.7] 0-5,8,9 (non-forum layers code 9) [Part A ladder]",yes,12,no,
codes,overall_dominant_valence_code,forum-specific,"int [FRM LOCK v2.7] 1=positive,2=neutral/mixed,3=negative,4=contradictory/polarized,8=unclear,9=N/A (non-forum layers code 9)",no,,yes,12
narrative,brief_summary,narrative,string 150-250 words,no,,no,
narrative,major_argument,narrative,string,no,,no,
narrative,primary_ethical_conflict,narrative,string,no,,no,
narrative,responsibility_attribution,narrative,string,no,,no,
narrative,institutional_framing,narrative,string,no,,no,
narrative,temporal_orientation,narrative,string,no,,no,
narrative,stakeholder_orientation,narrative,string,no,,no,
narrative,enforcement_density_rationale,narrative,string,no,,no,
narrative,alignment_justification,narrative,string: explain why not one point higher and not one point lower,no,,no,
narrative,cap_rule_notes,narrative,string: justify any 5s; state 'CAP OVERRIDE - [rule] - evidence: [quote]' if a cap is overridden,no,,no,
narrative,evidence_excerpts,narrative,"array of 5-8 strings (short paraphrase or <15-word quote), each with why it matters",no,,no,
narrative,emergent_codes,narrative,array of strings,no,,no,
narrative,theory_links,narrative,string (evidence-supported only; do not force),no,,no,
narrative,methodological_caution,narrative,"string (if Partial access, state how it affects interpretation)",no,,no,
narrative,future_use_tag,narrative,string of hashtags,no,,no,
narrative,reconciliation_flags,narrative,array of strings: anticipated inter-coder disagreement points and any inferred crosswalks used,no,,no,
