src,field,consensus_value,strongest_counter,verdict,verdict_note,failure_type
SRC_000010,int_data_prov_intensity_code,2,0/1,CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000017,eth_nonmaleficence,4,3,CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000017,eth_beneficence_eth,4,3,CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000017,eth_integrity,4,3,CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000017,eth_justice,3,2,CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000017,eth_transparency,3,2,CONSENSUS_VULNERABLE,,evidence_gap
SRC_000017,eth_privacy,3,2 (defensible); 3 holds,CONSENSUS_HOLDS,,—
SRC_000017,dppra_a_strength,2,1,CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000017,dppra_p2_strength,2,1,CONSENSUS_VULNERABLE,,evidence_gap
SRC_000017,dominant_value_type,2 (Institutional Duty),6 (Humanistic Care),CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000017,cb_primary_cost_bearer / beneficiary / value_capturer,6 / 6 / 6,cost_bearer=6; value_capturer=3 (institution),CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000017,market_capture_signal,0,0 (holds),CONSENSUS_HOLDS,,—
SRC_000017,responsibility_concentration,2 (distributed),2 (holds),CONSENSUS_HOLDS,,—
SRC_000017,int_data_prov_presence,1,1 (holds),CONSENSUS_HOLDS,,—
SRC_000017,int_system_tevv_presence,1,1 (holds; intensity is the fight),CONSENSUS_HOLDS,,—
SRC_000017,cb_*_evidence_label** (cost & benefit),2 / 2,1 / 1,CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000025,market_capture_signal_code,2 (moderate),3 (high),CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000025,dominant_value_type_code,2 (institutional),3 (market),CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000025,cb_balance_code,1 (benefits>costs),4 (asymmetric) or 8,CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000025,cb_primary_material_beneficiary_code,6 (public/society),4 (platform/vendor),CONSENSUS_WRONG,,shared_blind_spot
SRC_000025,cb_primary_value_capturer_code,4 (platform/vendor),(holds) 4,CONSENSUS_HOLDS,,—
SRC_000025,cb_cost_evidence_label_code,2 (speculative),3 (rhetorical/symbolic)** or 0,CONSENSUS_VULNERABLE,,evidence_gap
SRC_000025,int_system_tevv_presence_code,1 (present),(holds) 1,CONSENSUS_HOLDS,,—
SRC_000025,int_data_prov_presence_code,1 (present),0 (absent),CONSENSUS_VULNERABLE,,schema_ambiguity
SRC_000025,cb_benefit_public_good_code,1 (present),0 (absent),CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000025,cb_benefit_rights_protection_code,1 (present),0 (absent),CONSENSUS_VULNERABLE,,shared_blind_spot
SRC_000025,cb_benefit_quality_accuracy / consistency_standardization,1 / 1,"1 / 1 (holds, weakly)",CONSENSUS_HOLDS,,—
